direction,query_modality,gallery_modality,num_queries,positive_similarity_mean,hard_negative_similarity_mean,similarity_margin_mean,median_first_positive_rank,mean_first_positive_rank,mrr,median_paired_rank,mean_top1_margin,precision@1,recall@1,f1@1,hit@1,map@1,ndcg@1,paired_hit@1,precision@5,recall@5,f1@5,hit@5,map@5,ndcg@5,paired_hit@5,precision@10,recall@10,f1@10,hit@10,map@10,ndcg@10,paired_hit@10,precision@20,recall@20,f1@20,hit@20,map@20,ndcg@20,paired_hit@20,precision@50,recall@50,f1@50,hit@50,map@50,ndcg@50,paired_hit@50,multilabel_f1@5,multilabel_f1@10
sar_to_ms,sar,ms,628,0.5869051910652097,0.6323168554883094,-0.04541166442309975,3.0,8.15764331210191,0.5056440893390693,3.0,0.041531390160512015,0.3630573248407643,0.3630573248407643,0.3630573248407643,0.3630573248407643,0.3630573248407643,0.3630573248407643,0.3630573248407643,0.13726114649681526,0.6863057324840764,0.22876857749469218,0.6863057324840764,0.4809978768577495,0.5320503272258552,0.6863057324840764,0.07818471337579617,0.7818471337579618,0.14215402431962942,0.7818471337579618,0.49382393084622384,0.563020949720577,0.7818471337579618,0.04538216560509554,0.9076433121019108,0.08644222020018197,0.9076433121019108,0.5031435698117359,0.5955563635345856,0.9076433121019108,0.019522292993630577,0.9761146496815286,0.038279005869863866,0.9761146496815286,0.505327470801749,0.6091510643767324,0.9761146496815286,0.7146817861910109,0.6877893747721696
ms_to_sar,ms,sar,628,0.5869051910652097,0.6404334205161234,-0.053528229450913754,3.0,9.066878980891719,0.47915708207529306,3.0,0.04293846870493737,0.3328025477707006,0.3328025477707006,0.3328025477707006,0.3328025477707006,0.3328025477707006,0.3328025477707006,0.3328025477707006,0.12929936305732484,0.6464968152866242,0.2154989384288748,0.6464968152866242,0.45055732484076433,0.4993939072747899,0.6464968152866242,0.07834394904458598,0.7834394904458599,0.1424435437174291,0.7834394904458599,0.46888080072793437,0.5437219460868532,0.7834394904458599,0.04442675159235668,0.8885350318471338,0.08462238398544131,0.8885350318471338,0.4762136562957638,0.5703230088066523,0.8885350318471338,0.0193312101910828,0.9665605095541401,0.03790433370800549,0.9665605095541401,0.47869139315588244,0.5857884680769246,0.9665605095541401,0.7134873878055099,0.6840604876086821
sar_same,sar,sar,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6992162958361839,0.6871834716280749
ms_same,ms,ms,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.701084396035045,0.6867907682262087
rgb_to_sar,rgb,sar,628,0.5642121820977539,0.6307109162021595,-0.06649873410440554,3.0,10.802547770700636,0.44276902419139236,3.0,0.04407432532993851,0.28503184713375795,0.28503184713375795,0.28503184713375795,0.28503184713375795,0.28503184713375795,0.28503184713375795,0.28503184713375795,0.12866242038216558,0.643312101910828,0.21443736730360938,0.643312101910828,0.41687898089171976,0.4732161473696399,0.643312101910828,0.07484076433121019,0.7484076433121019,0.13607411696583674,0.7484076433121019,0.4312518956627237,0.5075397620060641,0.7484076433121019,0.04331210191082802,0.8662420382165605,0.08249924173491051,0.8662420382165605,0.4390989627715881,0.5369148299003103,0.8662420382165605,0.01910828025477707,0.9554140127388535,0.037467216185837385,0.9554140127388535,0.44214319465883856,0.5549584899548512,0.9554140127388535,0.7099982885296833,0.6880621926581572
sar_to_rgb,sar,rgb,628,0.5642121820977539,0.6271353176539871,-0.06292313555623316,3.0,9.95859872611465,0.4580400856030381,3.0,0.045552566837353314,0.31528662420382164,0.31528662420382164,0.31528662420382164,0.31528662420382164,0.31528662420382164,0.31528662420382164,0.31528662420382164,0.1273885350318471,0.6369426751592356,0.21231422505307862,0.6369426751592356,0.4293524416135881,0.4808229268261581,0.6369426751592356,0.07722929936305732,0.7722929936305732,0.14041690793283154,0.7722929936305732,0.44759377211606516,0.5247567874990451,0.7722929936305732,0.04315286624203821,0.8630573248407644,0.0821959356991204,0.8630573248407644,0.45398040532404865,0.5478138761345748,0.8630573248407644,0.01929936305732484,0.964968152866242,0.037841888347695765,0.964968152866242,0.45755574174227415,0.5686094581985929,0.964968152866242,0.7072074791285002,0.685118732289163
rgb_to_ms,rgb,ms,628,0.7707818454712819,0.6878997748065147,0.08288207066476724,1.0,1.4394904458598725,0.9103767715829818,1.0,0.09268144636776797,0.856687898089172,0.856687898089172,0.856687898089172,0.856687898089172,0.856687898089172,0.856687898089172,0.856687898089172,0.1952229299363057,0.9761146496815286,0.325371549893843,0.9761146496815286,0.9077229299363059,0.9251237356928503,0.9761146496815286,0.09920382165605093,0.9920382165605095,0.18037058482918358,0.9920382165605095,0.9099162117076128,0.9303373580051076,0.9920382165605095,0.04984076433121019,0.9968152866242038,0.09493478920230512,0.9968152866242038,0.910262170154686,0.9315648209422257,0.9968152866242038,0.02,1.0,0.0392156862745098,1.0,0.9103767715829818,0.9322207125413949,1.0,0.7610756407124775,0.7196876647944954
ms_to_rgb,ms,rgb,628,0.7707818454712819,0.6958160333003208,0.0749658121709611,1.0,1.7054140127388535,0.8966322522950798,1.0,0.08874247878030607,0.8487261146496815,0.8487261146496815,0.8487261146496815,0.8487261146496815,0.8487261146496815,0.8487261146496815,0.8487261146496815,0.1936305732484076,0.9681528662420382,0.3227176220806795,0.9681528662420382,0.8940021231422506,0.9125535413148297,0.9681528662420382,0.09792993630573248,0.9792993630573248,0.17805442964678636,0.9792993630573248,0.8954238701850167,0.9160942424824283,0.9792993630573248,0.04968152866242038,0.9936305732484076,0.09463148316651501,0.9936305732484076,0.8963939522210288,0.9196902108704967,0.9936305732484076,0.019968152866242036,0.9984076433121019,0.03915324091420007,0.9984076433121019,0.8966047978694263,0.920736824464836,0.9984076433121019,0.7503486057756281,0.7072368151111446
rgb_same,rgb,rgb,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7069988176987804,0.6925002302563311
