epoch,step,epoch_train_total_loss,epoch_train_jepa_loss,epoch_train_contrastive_loss,epoch_train_temporal_loss,epoch_train_unmix_loss
0,135,4.078395069970025,2.608219189114041,2.8116583470945007,0.008171387954994485,0.6434669468137953
1,270,2.0423341159467343,0.9456274089989839,2.0664877361721463,0.007772074308660296,0.634628434975942
2,405,1.75056567368684,0.8515753551765725,1.6736945077225014,0.00787439912005707,0.6214305996894837
3,540,1.6136168479919433,0.8411968836077938,1.4236019130106325,0.0077588375830264,0.6061901529630025
4,675,1.5315122807467425,0.8453462424101653,1.2544826255904304,0.007638710378496735,0.5892472139111271
5,810,1.466485940085517,0.8540405503025761,1.110712742143207,0.007598372752329817,0.5708902164741799
6,945,1.4150659693611993,0.8629528752079716,0.9939759479628669,0.007561367239665102,0.5512512017179418
7,1080,1.370311853620741,0.8697736391314754,0.894849509663052,0.007588272441730455,0.5311345983434607
8,1215,1.332954878277249,0.8748278948995802,0.814108806738147,0.007633574117251017,0.510725728670756
9,1350,1.3008878495958116,0.8787028392155966,0.7463477142431117,0.007672120037454146,0.4901115267365067
10,1485,1.2694091081619263,0.8805698624363651,0.6836697252812209,0.007673287564129741,0.47004384530915155
11,1620,1.2426549355189005,0.8807347496350606,0.6336300112583019,0.007669982465880888,0.45105173433268514
12,1755,1.2156720611784193,0.8792979368457088,0.5861529610775135,0.0076842891121352164,0.4329764357319585
13,1890,1.1898553327277854,0.876649754135697,0.5433702719432336,0.007687527044779725,0.4152044572212078
14,2025,1.165111162044384,0.8744786977767944,0.5015139474361031,0.007693617922012452,0.3987549410925971
15,2160,1.1422037561734517,0.8726605031225416,0.46248777321091405,0.00770231071445677,0.38299362107559487
16,2295,1.1216821357055946,0.8714179816069426,0.42702093212692827,0.007711660189347135,0.3675368516533463
17,2430,1.101866160940241,0.8698530678395872,0.39347728032756735,0.00772830116459065,0.35274450558203235
18,2565,1.0850453248730412,0.8687252203623453,0.3648149050220295,0.007749653676593745,0.3391264833785869
19,2700,1.067421476929276,0.8672680669360691,0.33500265197621454,0.0077643850231888115,0.3265208186926665
20,2835,1.0517889711591932,0.8675253267641421,0.3055604882262371,0.007770919444522372,0.31483392980363634
21,2970,1.0394056333435906,0.868529776290611,0.28092311758685995,0.007783588811893154,0.30414300825860763
22,3105,1.0262669271892972,0.8697460426224602,0.25417531892933226,0.007789718163096242,0.29433225878962765
23,3240,1.019658429092831,0.8707232704869023,0.24080342653172987,0.0077845319829605245,0.2853344385270719
24,3375,1.0099081644305477,0.8706075063458195,0.2231456119567156,0.007786574845926629,0.2772785515696914
25,3510,0.9996891745814571,0.870636076397366,0.2041536995106273,0.007791255673186647,0.26976249085532295
26,3645,0.988979067184307,0.8697130993560508,0.18596343882381916,0.0077969462093379766,0.26284246764801167
27,3780,0.9788891063796149,0.8686203117723819,0.16924880865823339,0.007801007976134618,0.2564439321005786
28,3915,0.9698921773168776,0.8674771860793785,0.15470803752541543,0.007802774098322347,0.25060972725903546
29,4050,0.9628628302503515,0.8667155045050162,0.1432304885790304,0.007802352040178246,0.24532075380837476
30,4185,0.9567872458034091,0.8659015629026625,0.1336558784875605,0.007800987266280033,0.2405775041491897
31,4320,0.949682703283098,0.8642531386128178,0.12361715045516138,0.007801220383219145,0.2362099019465623
32,4455,0.9455497816756919,0.8643904831674364,0.11586244590580463,0.00780288621576296,0.23228073142192981
33,4590,0.9410330569302594,0.8635843833287556,0.10914613352053695,0.007803560834791925,0.2287561231189304
34,4725,0.9373663844885649,0.8630655615418046,0.10348068041106065,0.007804922600863157,0.22560482930254053
35,4860,0.9349437148482711,0.8634688593723155,0.09839046901022946,0.007804661827092921,0.22279617510460042
36,4995,0.9316534475043968,0.8631528006659613,0.09292393144634035,0.007803412188810331,0.22038682809582463
37,5130,0.9289783380649708,0.8631252721503929,0.0880529312485898,0.007802771463024396,0.21826601171935045
38,5265,0.9266428898881983,0.8629010597864787,0.08419927390361273,0.007801849436428812,0.2164219485388862
39,5400,0.9263380721763328,0.864176888819094,0.08134896321981042,0.007801653672423628,0.2148670537604226
40,5535,0.924900339267872,0.8639558593432108,0.07917470923038544,0.007801394399117541,0.2135712303497173
41,5670,0.924948838463536,0.8650028131626271,0.07738711204793718,0.007800252356187061,0.21252473029825422
42,5805,0.9251164401019061,0.8658479072429516,0.07620474854139266,0.007798248529434204,0.2116616169611613
43,5940,0.9252026549092045,0.8661917946956775,0.07583403053383032,0.0077966860530001144,0.21093847188684675
44,6075,0.9264374490137454,0.8674821782995153,0.0758352951940011,0.007799939283480247,0.21037623959558982
45,6210,0.9269783042095325,0.8681861815629182,0.07559321924906086,0.007805185154494312,0.2099551088280148
46,6345,0.9270414551099141,0.8687120442037229,0.0747140429293116,0.007811177108022902,0.20972388486067453
47,6480,0.9268989863219085,0.8694267467216209,0.0730316593070273,0.007814458754189589,0.20956405655101493
48,6615,0.9245784825748867,0.8683725657286467,0.07053475511018877,0.007814981847035664,0.2093853888688264
49,6750,0.9228443949310868,0.8677225183557581,0.06837370287351034,0.007814235174683508,0.20935026230635467
